CIP Title,SOC Title
German Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Italian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Japanese Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Korean Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Polish Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Spanish and Iberian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Tibetan Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Ukraine Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Irish Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Latin American and Caribbean Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Appalachian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Arctic Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Area Studies, Other.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Ethnic Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
African-American/Black Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
American Indian/Native American Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Asian-American Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Women's Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Gay/Lesbian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Folklore Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Disability Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Deaf Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Deaf Studies.,Interpreters and Translators
Comparative Group Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Ethnic, Cultural Minority, Gender, and Group Studies, Other.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Area, Ethnic, Cultural, Gender, and Group Studies, Other.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Communication, General.",Public Relations Managers
"Communication, General.",Fundraising Managers
"Communication, General.",Fundraisers
"Communication, General.","Communications Teachers, Postsecondary"
"Communication, General.",Broadcast Announcers and Radio Disc Jockeys
"Communication, General.","News Analysts, Reporters, and Journalists"
"Communication, General.",Public Relations Specialists
"Communication, General.",Editors
"Communication, General.",Writers and Authors
Speech Communication and Rhetoric.,Public Relations Managers
Speech Communication and Rhetoric.,"Communications Teachers, Postsecondary"
Speech Communication and Rhetoric.,Broadcast Announcers and Radio Disc Jockeys
Speech Communication and Rhetoric.,Public Relations Specialists
Speech Communication and Rhetoric.,Writers and Authors
Speech Communication and Rhetoric.,"Media and Communication Workers, All Other"
Mass Communication/Media Studies.,Public Relations Managers
Mass Communication/Media Studies.,"Communications Teachers, Postsecondary"
Mass Communication/Media Studies.,"News Analysts, Reporters, and Journalists"
Mass Communication/Media Studies.,Editors
Mass Communication/Media Studies.,Writers and Authors
"Communication and Media Studies, Other.",NO MATCH
Journalism.,"Communications Teachers, Postsecondary"
Journalism.,"News Analysts, Reporters, and Journalists"
Journalism.,Editors
Journalism.,Writers and Authors
Journalism.,Proofreaders and Copy Markers
Broadcast Journalism.,"Communications Teachers, Postsecondary"
Broadcast Journalism.,Broadcast Announcers and Radio Disc Jockeys
Broadcast Journalism.,"News Analysts, Reporters, and Journalists"
Broadcast Journalism.,Editors
Broadcast Journalism.,Writers and Authors
Photojournalism.,"News Analysts, Reporters, and Journalists"
Photojournalism.,Photographers
Photojournalism.,Film and Video Editors
Business and Economic Journalism.,"Communications Teachers, Postsecondary"
Business and Economic Journalism.,"News Analysts, Reporters, and Journalists"
Cultural Journalism.,"Communications Teachers, Postsecondary"
Cultural Journalism.,"News Analysts, Reporters, and Journalists"
Science/Health/Environmental Journalism.,"Communications Teachers, Postsecondary"
Science/Health/Environmental Journalism.,"News Analysts, Reporters, and Journalists"
"Journalism, Other.","Communications Teachers, Postsecondary"
"Journalism, Other.","News Analysts, Reporters, and Journalists"
Radio and Television.,"Communications Teachers, Postsecondary"
Radio and Television.,Producers and Directors
Radio and Television.,Broadcast Announcers and Radio Disc Jockeys
Radio and Television.,"News Analysts, Reporters, and Journalists"
Radio and Television.,Film and Video Editors
Digital Communication and Media/Multimedia.,"Managers, All Other"
Digital Communication and Media/Multimedia.,Web and Digital Interface Designers
Digital Communication and Media/Multimedia.,"Communications Teachers, Postsecondary"
Digital Communication and Media/Multimedia.,"Media and Communication Workers, All Other"
"Radio, Television, and Digital Communication, Other.",NO MATCH
"Public Relations, Advertising, and Applied Communication.",Advertising and Promotions Managers
"Public Relations, Advertising, and Applied Communication.",Public Relations Managers
"Public Relations, Advertising, and Applied Communication.",Fundraising Managers
"Public Relations, Advertising, and Applied Communication.",Fundraisers
"Public Relations, Advertising, and Applied Communication.","Communications Teachers, Postsecondary"
"Public Relations, Advertising, and Applied Communication.",Public Relations Specialists
"Organizational Communication, General.",Human Resources Managers
"Organizational Communication, General.",Training and Development Managers
"Organizational Communication, General.",Training and Development Specialists
Public Relations/Image Management.,Advertising and Promotions Managers
Public Relations/Image Management.,Public Relations Managers
Public Relations/Image Management.,Fundraising Managers
Public Relations/Image Management.,Fundraisers
Public Relations/Image Management.,"Communications Teachers, Postsecondary"
Public Relations/Image Management.,Public Relations Specialists
Advertising.,Advertising and Promotions Managers
Advertising.,"Communications Teachers, Postsecondary"
Political Communication.,Public Relations Managers
Political Communication.,Fundraisers
Political Communication.,"Communications Teachers, Postsecondary"
Political Communication.,"News Analysts, Reporters, and Journalists"
Political Communication.,Public Relations Specialists
Health Communication.,Health Education Specialists
Health Communication.,Community Health Workers
Health Communication.,"Communications Teachers, Postsecondary"
Health Communication.,Public Relations Specialists
Sports Communication.,"Agents and Business Managers of Artists, Performers, and Athletes"
Sports Communication.,"Communications Teachers, Postsecondary"
Sports Communication.,"Entertainers and Performers, Sports and Related Workers, All Other"
Sports Communication.,Broadcast Announcers and Radio Disc Jockeys
Sports Communication.,"News Analysts, Reporters, and Journalists"
Sports Communication.,Public Relations Specialists
International and Intercultural Communication.,Public Relations Managers
International and Intercultural Communication.,"Communications Teachers, Postsecondary"
International and Intercultural Communication.,"News Analysts, Reporters, and Journalists"
International and Intercultural Communication.,Public Relations Specialists
Technical and Scientific Communication.,"Communications Teachers, Postsecondary"
Technical and Scientific Communication.,Editors
Technical and Scientific Communication.,Technical Writers
Communication Management and Strategic Communications.,Public Relations Managers
Communication Management and Strategic Communications.,Fundraising Managers
"Public Relations, Advertising, and Applied Communication, Other.",NO MATCH
Publishing.,Editors
"Communication, Journalism, and Related Programs, Other.","Communications Teachers, Postsecondary"
"Communication, Journalism, and Related Programs, Other.",Editors
"Communication, Journalism, and Related Programs, Other.",Writers and Authors
Communications Technology/Technician.,"Media and Communication Workers, All Other"
Communications Technology/Technician.,Broadcast Technicians
Communications Technology/Technician.,Sound Engineering Technicians
Communications Technology/Technician.,Film and Video Editors
Photographic and Film/Video Technology/Technician.,Audio and Video Technicians
Photographic and Film/Video Technology/Technician.,Lighting Technicians
Radio and Television Broadcasting Technology/Technician.,Broadcast Technicians
Radio and Television Broadcasting Technology/Technician.,Lighting Technicians
Radio and Television Broadcasting Technology/Technician.,"Camera Operators, Television, Video, and Film"
Radio and Television Broadcasting Technology/Technician.,Film and Video Editors
Recording Arts Technology/Technician.,"Disc Jockeys, Except Radio"
Recording Arts Technology/Technician.,Audio and Video Technicians
Recording Arts Technology/Technician.,Sound Engineering Technicians
Voice Writing Technology/Technician.,Court Reporters and Simultaneous Captioners
"Audiovisual Communications Technologies/Technicians, Other.",Broadcast Technicians
"Audiovisual Communications Technologies/Technicians, Other.","Camera Operators, Television, Video, and Film"
"Audiovisual Communications Technologies/Technicians, Other.",Film and Video Editors
"Graphic Communications, General.",Prepress Technicians and Workers
Printing Management.,Prepress Technicians and Workers
Printing Management.,Printing Press Operators
Prepress/Desktop Publishing and Digital Imaging Design.,Desktop Publishers
Prepress/Desktop Publishing and Digital Imaging Design.,Prepress Technicians and Workers
"Animation, Interactive Technology, Video Graphics, and Special Effects.",Special Effects Artists and Animators
"Graphic and Printing Equipment Operator, General Production.",Data Entry Keyers
"Graphic and Printing Equipment Operator, General Production.",Prepress Technicians and Workers
"Graphic and Printing Equipment Operator, General Production.",Printing Press Operators
Platemaker/Imager.,Prepress Technicians and Workers
Printing Press Operator.,Prepress Technicians and Workers
Printing Press Operator.,Printing Press Operators
Computer Typography and Composition Equipment Operator.,Desktop Publishers
Computer Typography and Composition Equipment Operator.,Prepress Technicians and Workers
"Graphic Communications, Other.",Prepress Technicians and Workers
"Graphic Communications, Other.",Printing Press Operators
"Graphic Communications, Other.",Etchers and Engravers
"Communications Technologies/Technicians and Support Services, Other.",NO MATCH
"Computer and Information Sciences, General.",Computer and Information Systems Managers
"Computer and Information Sciences, General.",Computer Systems Analysts
"Computer and Information Sciences, General.",Computer and Information Research Scientists
"Computer and Information Sciences, General.",Computer Network Architects
"Computer and Information Sciences, General.",Database Administrators
"Computer and Information Sciences, General.",Database Architects
"Computer and Information Sciences, General.",Network and Computer Systems Administrators
"Computer and Information Sciences, General.",Software Quality Assurance Analysts and Testers
"Computer and Information Sciences, General.",Web and Digital Interface Designers
"Computer and Information Sciences, General.","Computer Occupations, All Other"
"Computer and Information Sciences, General.","Computer Science Teachers, Postsecondary"
Artificial Intelligence.,Computer and Information Research Scientists
